Category	Name	Latest	Last Commit	Container	Build ready	Publishing ready
Scientific tool	abyss	v2.1.5	2025-08-12	True	True	True
Scientific tool	anvio	v8	2025-08-12	False	False	False
Scientific tool	asciigenome	v1.17.0	2025-08-12	True	True	True
Utility	asciinema	v2.3.0	2025-08-12	True	True	True
Scientific tool	aspera-connect	v4.1.12	2025-08-12	True	True	True
Scientific tool	augustus	v3.5	2025-08-12	True	True	True
Utility	aws-cli	v2.22.28	2025-08-12	True	True	True
Scientific tool	bamtools	v2.5.2	2025-08-12	True	True	False
Utility	bat	v0.24.0	2025-08-12	True	True	False
Scientific tool	bcftools	v1.10.2	2025-08-12	True	True	True
Scientific tool	bedops	—	2025-08-12	None	True	False
Scientific tool	bedtools	v2.30.0	2025-08-12	True	True	False
Scientific tool	bioformats2raw	v0.9.4	2025-08-12	True	True	False
Scientific tool	bismark	—	2025-08-12	None	True	True
Scientific tool	blast	v2.13.0	2025-08-12	True	True	True
Scientific tool	blat	v36	2025-08-12	True	True	True
Scientific tool	bowtie2	—	—	None	False	False
Scientific tool	braker2	—	—	None	False	False
Utility	browsh	—	—	None	False	False
Scientific tool	bsmap	—	—	None	False	False
Utility	btop	—	—	None	False	False
Scientific tool	busco	—	—	None	False	False
Scientific tool	bwa	—	—	None	False	False
Scientific tool	checkm	—	—	None	False	False
Utility	circos	—	—	None	False	False
Scientific tool	cutadapt	—	—	None	False	False
Utility	cwltool	—	—	None	False	False
Utility	dua	—	—	None	False	False
Utility	dust	—	—	None	False	False
Scientific tool	fastani	—	—	None	False	False
Scientific tool	fastq-tools	—	—	None	False	False
Scientific tool	fastqc	—	—	None	False	False
Scientific tool	fasttree	—	—	None	False	False
Utility	fdupes	—	—	None	False	False
Utility	ffmpeg	—	—	None	False	False
Scientific tool	filtlong	—	—	None	False	False
Utility	flac	—	—	None	False	False
Scientific tool	flash	—	—	None	False	False
Scientific tool	funannotate	—	—	None	False	False
Scientific tool	gatk	—	—	None	False	False
Utility	gcalcli	—	—	None	False	False
Scientific tool	genemark-es	—	—	None	False	False
Scientific tool	gent	—	—	None	False	False
Remote Desktop Application	gimp	—	—	None	False	False
Utility	glances	—	—	None	False	False
Utility	gnuplot	—	—	None	False	False
Utility	graphviz	—	—	None	False	False
Scientific tool	guppy	—	—	None	False	False
Scientific tool	guppy-gpu	—	—	None	False	False
Utility	hashdeep	—	—	None	False	False
Scientific tool	hisat2	—	—	None	False	False
Scientific tool	hmmer	—	—	None	False	False
Scientific tool	htslib	—	—	None	False	False
Utility	hyperfine	—	—	None	False	False
Utility	imagemagick	—	—	None	False	False
Remote Desktop Application	inkscape	—	—	None	False	False
Utility	jp	—	—	None	False	False
Utility	jq	—	—	None	False	False
Scientific tool	kraken2	—	—	None	False	False
Utility	lazygit	—	—	None	False	False
Utility	libtiff-tools	—	—	None	False	False
Utility	lowcharts	—	—	None	False	False
Utility	mc	—	—	None	False	False
Scientific tool	meme-suite	—	—	None	False	False
Scientific tool	methylpy	—	—	None	False	False
Scientific tool	nanoplot	—	—	None	False	False
Utility	ncdu	—	—	None	False	False
Scientific tool	ncview	—	—	None	False	False
Scientific tool	octave	—	—	None	False	False
Utility	pandiff	—	—	None	False	False
Utility	pandoc	—	—	None	False	False
Utility	papis	—	—	None	False	False
Scientific tool	phylip-suite	—	—	None	False	False
Scientific tool	picard	—	—	None	False	False
Scientific tool	porechop	—	—	None	False	False
Scientific tool	prodigal	—	—	None	False	False
Scientific tool	raw2ometiff	—	—	None	False	False
Scientific tool	raxml	—	—	None	False	False
Utility	rclone	—	—	None	False	False
Utility	rich-cli	—	—	None	False	False
Scientific tool	rnaview	—	—	None	False	False
Scientific tool	rust	—	—	None	False	False
Scientific tool	salmon	—	—	None	False	False
Scientific tool	samtools	—	—	None	False	False
Utility	shellcheck	—	—	None	False	False
Scientific tool	spades	—	—	None	False	False
Scientific tool	sra-toolkit	—	—	None	False	False
Scientific tool	star	—	—	None	False	False
Scientific tool	star-fusion	—	—	None	False	False
Scientific tool	stride	—	—	None	False	False
Scientific tool	tiger	—	—	None	False	False
Scientific tool	trimmomatic	—	—	None	False	False
Scientific tool	vcf2maf	—	—	None	False	False
Scientific tool	viennarna	—	—	None	False	False
Utility	vim	—	—	None	False	False
Utility	visidata	—	—	None	False	False
Utility	wordgrinder	—	—	None	False	False
